ano;ponto_virada;pedra;classificacao_pedra;indicador;valor_indicador
2020;Não;Ametista;3;INDE;7.883752
2020;Não;Ametista;3;INDE;7.856389666666666
2020;Não;Quartzo;1;INDE;5.076252
2020;Não;Ametista;3;INDE;8.077085
2020;Sim;Ametista;3;INDE;8.381390666666666
2020;Não;Quartzo;1;INDE;5.1618745
2020;Sim;Topázio;4;INDE;9.712504
2020;Não;Quartzo;1;INDE;5.838887333333334
2020;Não;Ágata;2;INDE;6.434585
2020;Não;Quartzo;1;INDE;5.162502
2020;Não;Ametista;3;INDE;7.766252
2020;Não;Ágata;2;INDE;7.2055576666666665
2020;Sim;Topázio;4;INDE;9.354725666666669
2020;Não;Ágata;2;INDE;7.125001
2020;Não;Ágata;2;INDE;7.013888333333334
2020;Não;Ametista;3;INDE;7.698890666666667
2020;Não;Ágata;2;INDE;6.64396
2020;Não;Ametista;3;INDE;8.307780333333334
2020;Não;Ágata;2;INDE;6.6788913333333335
2020;Não;Ametista;3;INDE;8.131388333333334
2020;Não;Ametista;3;INDE;7.460002
2020;Não;Ametista;3;INDE;7.805209
2020;Não;Ágata;2;INDE;6.218335
2020;Não;Ágata;2;INDE;6.631252
2020;Não;Ágata;2;INDE;6.966669
2020;Não;Topázio;4;INDE;8.955835
2020;Não;Ametista;3;INDE;8.181112666666667
2020;;Topázio;4;INDE;8.696667999999999
2020;Sim;Ágata;2;INDE;6.878125166666666
2020;Não;Ametista;3;INDE;7.311667166666667
2020;Não;Ágata;2;INDE;6.563055666666668
2020;Não;Ametista;3;INDE;7.679582333333333
2020;Não;Quartzo;1;INDE;5.604168666666667
2020;Não;Ágata;2;INDE;6.330001333333334
2020;Não;Quartzo;1;INDE;5.988752
2020;Não;Ametista;3;INDE;7.550001
2020;Sim;Topázio;4;INDE;9.687504
2020;Não;Topázio;4;INDE;8.958334
2020;Não;Ametista;3;INDE;7.352085
2020;Não;Ágata;2;INDE;6.499723333333334
2020;Sim;Ametista;3;INDE;7.386391000000001
2020;Não;Ametista;3;INDE;7.954169
2020;Sim;Ametista;3;INDE;8.155003333333333
2020;Não;Topázio;4;INDE;8.750001000000001
2020;Não;Ágata;2;INDE;7.263334
2020;Não;Quartzo;1;INDE;5.688333833333334
2020;Sim;Ametista;3;INDE;8.188612666666666
2020;Sim;Topázio;4;INDE;9.04042
2020;Não;Ametista;3;INDE;7.937502
2020;Não;Ágata;2;INDE;7.073542833333333
2020;Não;Ágata;2;INDE;6.846668
2020;Não;Ágata;2;INDE;6.7552085
2020;Não;Ametista;3;INDE;7.336876333333333
2020;Sim;Ágata;2;INDE;6.432500999999999
2020;Não;Ametista;3;INDE;7.393752
2020;Não;Ágata;2;INDE;6.908335000000001
2020;Não;Ametista;3;INDE;7.966668666666667
2020;Não;Topázio;4;INDE;8.597919000000001
2020;Não;Topázio;4;INDE;8.516877
2020;Não;Ametista;3;INDE;8.450002
2020;Não;Ágata;2;INDE;6.8535425
2020;Não;Ágata;2;INDE;6.448887666666667
2020;Não;Ametista;3;INDE;7.693335000000001
2020;Não;Quartzo;1;INDE;5.331389333333334
2020;Não;Ametista;3;INDE;8.032085
2020;Não;Ametista;3;INDE;8.342085
2020;Não;Ametista;3;INDE;7.895835000000001
2020;Não;Ágata;2;INDE;7.187502
2020;Não;Quartzo;1;INDE;5.854169000000001
2020;Não;Ametista;3;INDE;7.344792
2020;Não;Ametista;3;INDE;8.428752
2020;Não;Ametista;3;INDE;7.798752
2020;Não;Quartzo;1;INDE;4.643056
2020;Não;Ágata;2;INDE;6.105834000000001
2020;Sim;Ametista;3;INDE;8.345001166666666
2020;Não;Ágata;2;INDE;6.385835333333334
2020;Não;Quartzo;1;INDE;5.934724000000001
2020;Não;Ágata;2;INDE;7.131667
2020;Não;Ametista;3;INDE;8.238891333333333
2020;Não;Ametista;3;INDE;7.963542166666667
2020;Sim;Ametista;3;INDE;8.167711833333334
2020;Não;Quartzo;1;INDE;5.884585
2020;Não;Ágata;2;INDE;7.110556666666668
